process_id,file_size,mem_usage,page_vaults,page_file_peak_usage,self/Non-Self
VL,VL,VL,H,L,1
VL,VL,VL,M,L,1
VL,VL,VL,VL,L,1
VL,VL,VL,VH,L,1
VL,VL,VL,VH,H,1
VL,VL,VL,VH,M,1
VL,VL,VL,VL,H,1
VL,VL,VL,VL,M,0
VL,VL,VL,M,H,1
VL,VL,VL,M,M,1
VL,VL,VL,H,H,1
VL,VL,VL,H,M,1
VL,VL,VL,L,H,1
VL,VL,VL,L,M,1
VL,VL,M,H,L,1
VL,VL,M,M,L,1
VL,VL,M,VL,L,1
VL,VL,M,VH,L,1
VL,VL,M,VH,H,1
VL,VL,M,VH,M,1
VL,VL,M,VL,H,1
VL,VL,M,VL,M,1
VL,VL,M,M,H,1
VL,VL,M,M,M,0
VL,VL,M,H,H,1
VL,VL,M,H,M,1
VL,VL,M,L,H,1
VL,VL,M,L,M,1
VL,VL,H,H,L,1
VL,VL,H,M,L,1
VL,VL,H,VL,L,1
VL,VL,H,VH,L,1
VL,VL,H,VH,H,1
VL,VL,H,VH,M,1
VL,VL,H,VL,H,1
VL,VL,H,VL,M,0
VL,VL,H,M,H,1
VL,VL,H,M,M,1
VL,VL,H,H,H,1
VL,VL,H,H,M,0
VL,VL,H,L,H,0
VL,VL,H,L,M,1
VL,VL,L,H,L,1
VL,VL,L,M,L,1
VL,VL,L,VL,L,1
VL,VL,L,VH,L,1
VL,VL,L,VH,H,1
VL,VL,L,VH,M,1
VL,VL,L,VL,H,1
VL,VL,L,VL,M,1
VL,VL,L,M,H,1
VL,VL,L,M,M,1
VL,VL,L,H,H,1
VL,VL,L,H,M,1
VL,VL,L,L,H,1
VL,VL,L,L,M,1
VL,M,H,L,L,0
VL,M,M,L,L,0
VL,M,VL,L,L,1
VL,M,VH,L,L,0
VL,M,VH,H,L,1
VL,M,VH,M,L,1
VL,M,VH,VL,L,1
VL,M,VH,VH,L,1
VL,M,VH,VH,H,1
VL,M,VH,VH,M,1
VL,M,VH,VL,H,1
VL,M,VH,VL,M,0
VL,M,VH,M,H,1
VL,M,VH,M,M,1
VL,M,VH,H,H,1
VL,M,VH,H,M,1
VL,M,VH,L,H,1
VL,M,VH,L,M,0
VL,M,VL,H,L,1
VL,M,VL,M,L,1
VL,M,VL,VL,L,1
VL,M,VL,VH,L,1
VL,M,VL,VH,H,1
VL,M,VL,VH,M,1
VL,M,VL,VL,H,0
VL,M,VL,VL,M,1
VL,M,VL,M,H,0
VL,M,VL,M,M,1
VL,M,VL,H,H,1
VL,M,VL,H,M,1
VL,M,VL,L,H,0
VL,M,VL,L,M,1
VL,M,M,H,L,1
VL,M,M,M,L,1
VL,M,M,VL,L,1
VL,M,M,VH,L,1
VL,M,M,VH,H,1
VL,M,M,VH,M,1
VL,M,M,VL,H,1
VL,M,M,VL,M,0
VL,M,M,M,H,1
VL,M,M,M,M,1
VL,M,M,H,H,1
VL,M,M,H,M,0
VL,M,M,L,H,1
VL,M,M,L,M,0
VL,M,H,H,L,1
VL,M,H,M,L,1
VL,M,H,VL,L,1
VL,M,H,VH,L,1
VL,M,H,VH,H,1
VL,M,H,VH,M,1
VL,M,H,VL,H,1
VL,M,H,VL,M,1
VL,M,H,M,H,1
VL,M,H,M,M,1
VL,M,H,H,H,1
VL,M,H,H,M,1
VL,M,H,L,H,0
VL,M,H,L,M,0
VL,M,L,H,L,1
VL,M,L,M,L,1
VL,M,L,VL,L,1
VL,M,L,VH,L,1
VL,M,L,VH,H,1
VL,M,L,VH,M,1
VL,M,L,VL,H,1
VL,M,L,VL,M,1
VL,M,L,M,H,1
VL,M,L,M,M,1
VL,M,L,H,H,1
VL,M,L,H,M,1
VL,M,L,L,H,0
VL,M,L,L,M,0
VL,H,H,L,L,0
VL,H,M,L,L,1
VL,H,VL,L,L,0
VL,H,VH,L,L,1
VL,H,VH,H,L,1
VL,H,VH,M,L,1
VL,H,VH,VL,L,1
VL,H,VH,VH,L,1
VL,H,VH,VH,H,1
VL,H,VH,VH,M,1
VL,H,VH,VL,H,1
VL,H,VH,VL,M,0
VL,H,VH,M,H,1
VL,H,VH,M,M,0
VL,H,VH,H,H,1
VL,H,VH,H,M,1
VL,H,VH,L,H,1
VL,H,VH,L,M,1
VL,H,VL,H,L,1
VL,H,VL,M,L,1
VL,H,VL,VL,L,1
VL,H,VL,VH,L,1
VL,H,VL,VH,H,1
VL,H,VL,VH,M,1
VL,H,VL,VL,H,1
VL,H,VL,VL,M,0
VL,H,VL,M,H,1
VL,H,VL,M,M,1
VL,H,VL,H,H,1
VL,H,VL,H,M,0
VL,H,VL,L,H,0
VL,H,VL,L,M,0
VL,H,M,H,L,1
VL,H,M,M,L,1
VL,H,M,VL,L,1
VL,H,M,VH,L,1
VL,H,M,VH,H,1
VL,H,M,VH,M,1
VL,H,M,VL,H,1
VL,H,M,VL,M,0
VL,H,M,M,H,1
VL,H,M,M,M,0
VL,H,M,H,H,1
VL,H,M,H,M,0
VL,H,M,L,H,0
VL,H,M,L,M,1
VL,H,H,H,L,1
VL,H,H,M,L,1
VL,H,H,VL,L,1
VL,H,H,VH,L,1
VL,H,H,VH,H,1
VL,H,H,VH,M,1
VL,H,H,VL,H,1
VL,H,H,VL,M,1
VL,H,H,M,H,1
VL,H,H,M,M,1
VL,H,H,H,H,1
VL,H,H,H,M,1
VL,H,H,L,H,1
VL,H,H,L,M,1
VL,H,L,H,L,1
VL,H,L,M,L,1
VL,H,L,VL,L,1
VL,H,L,VH,L,1
VL,H,L,VH,H,1
VL,H,L,VH,M,1
VL,H,L,VL,H,1
VL,H,L,VL,M,1
VL,H,L,M,H,1
VL,H,L,M,M,1
VL,H,L,H,H,1
VL,H,L,H,M,1
VL,H,L,L,H,1
VL,H,L,L,M,1
VL,L,H,L,L,0
VL,L,M,L,L,1
VL,L,VL,L,L,1
VL,L,VH,L,L,1
VL,L,VH,H,L,1
VL,L,VH,M,L,0
VL,L,VH,VL,L,0
VL,L,VH,VH,L,1
VL,L,VH,VH,H,1
VL,L,VH,VH,M,1
VL,L,VH,VL,H,0
VL,L,VH,VL,M,1
VL,L,VH,M,H,1
VL,L,VH,M,M,1
VL,L,VH,H,H,0
VL,L,VH,H,M,1
VL,L,VH,L,H,1
VL,L,VH,L,M,1
VL,L,VL,H,L,1
VL,L,VL,M,L,1
VL,L,VL,VL,L,1
VL,L,VL,VH,L,1
VL,L,VL,VH,H,1
VL,L,VL,VH,M,1
VL,L,VL,VL,H,1
VL,L,VL,VL,M,1
VL,L,VL,M,H,0
VL,L,VL,M,M,1
VL,L,VL,H,H,0
VL,L,VL,H,M,1
VL,L,VL,L,H,1
VL,L,VL,L,M,0
VL,L,M,H,L,1
VL,L,M,M,L,1
VL,L,M,VL,L,1
VL,L,M,VH,L,1
VL,L,M,VH,H,1
VL,L,M,VH,M,1
VL,L,M,VL,H,0
VL,L,M,VL,M,1
VL,L,M,M,H,0
VL,L,M,M,M,1
VL,L,M,H,H,0
VL,L,M,H,M,1
VL,L,M,L,H,1
VL,L,M,L,M,1
VL,L,H,H,L,0
VL,L,H,M,L,0
VL,L,H,VL,L,1
VL,L,H,VH,L,1
VL,L,H,VH,H,1
VL,L,H,VH,M,1
VL,L,H,VL,H,1
VL,L,H,VL,M,1
VL,L,H,M,H,1
VL,L,H,M,M,0
VL,L,H,H,H,0
VL,L,H,H,M,1
VL,L,H,L,H,1
VL,L,H,L,M,1
VL,L,L,H,L,1
VL,L,L,M,L,0
VL,L,L,VL,L,1
VL,L,L,VH,L,1
VL,L,L,VH,H,1
VL,L,L,VH,M,1
VL,L,L,VL,H,1
VL,L,L,VL,M,1
VL,L,L,M,H,1
VL,L,L,M,M,0
VL,L,L,H,H,0
VL,L,L,H,M,0
VL,L,L,L,H,1
VL,L,L,L,M,1
M,H,L,L,L,0
M,M,L,L,L,0
M,VL,L,L,L,0
M,VH,L,L,L,0
M,VH,H,L,L,1
M,VH,M,L,L,1
M,VH,VL,L,L,0
M,VH,VH,L,L,0
M,VH,VH,H,L,1
M,VH,VH,M,L,1
M,VH,VH,VL,L,1
M,VH,VH,VH,L,1
M,VH,VH,VH,H,1
M,VH,VH,VH,M,1
M,VH,VH,VL,H,1
M,VH,VH,VL,M,1
M,VH,VH,M,H,1
M,VH,VH,M,M,1
M,VH,VH,H,H,1
M,VH,VH,H,M,1
M,VH,VH,L,H,1
M,VH,VH,L,M,1
M,VH,VL,H,L,1
M,VH,VL,M,L,1
M,VH,VL,VL,L,1
M,VH,VL,VH,L,1
M,VH,VL,VH,H,1
M,VH,VL,VH,M,1
M,VH,VL,VL,H,1
M,VH,VL,VL,M,1
M,VH,VL,M,H,1
M,VH,VL,M,M,1
M,VH,VL,H,H,1
M,VH,VL,H,M,1
M,VH,VL,L,H,0
M,VH,VL,L,M,0
M,VH,M,H,L,1
M,VH,M,M,L,1
M,VH,M,VL,L,1
M,VH,M,VH,L,1
M,VH,M,VH,H,1
M,VH,M,VH,M,1
M,VH,M,VL,H,1
M,VH,M,VL,M,1
M,VH,M,M,H,1
M,VH,M,M,M,1
M,VH,M,H,H,1
M,VH,M,H,M,1
M,VH,M,L,H,0
M,VH,M,L,M,0
M,VH,H,H,L,1
M,VH,H,M,L,1
M,VH,H,VL,L,1
M,VH,H,VH,L,1
M,VH,H,VH,H,1
M,VH,H,VH,M,1
M,VH,H,VL,H,1
M,VH,H,VL,M,1
M,VH,H,M,H,1
M,VH,H,M,M,1
M,VH,H,H,H,1
M,VH,H,H,M,1
M,VH,H,L,H,0
M,VH,H,L,M,0
M,VH,L,H,L,1
M,VH,L,M,L,1
M,VH,L,VL,L,1
M,VH,L,VH,L,1
M,VH,L,VH,H,1
M,VH,L,VH,M,1
M,VH,L,VL,H,1
M,VH,L,VL,M,1
M,VH,L,M,H,1
M,VH,L,M,M,1
M,VH,L,H,H,1
M,VH,L,H,M,1
M,VH,L,L,H,1
M,VH,L,L,M,0
M,VL,H,L,L,1
M,VL,M,L,L,0
M,VL,VL,L,L,0
M,VL,VH,L,L,0
M,VL,VH,H,L,1
M,VL,VH,M,L,1
M,VL,VH,VL,L,1
M,VL,VH,VH,L,1
M,VL,VH,VH,H,1
M,VL,VH,VH,M,1
M,VL,VH,VL,H,1
M,VL,VH,VL,M,1
M,VL,VH,M,H,1
M,VL,VH,M,M,1
M,VL,VH,H,H,1
M,VL,VH,H,M,1
M,VL,VH,L,H,0
M,VL,VH,L,M,1
M,VL,VL,H,L,1
M,VL,VL,M,L,1
M,VL,VL,VL,L,1
M,VL,VL,VH,L,1
M,VL,VL,VH,H,1
M,VL,VL,VH,M,1
M,VL,VL,VL,H,1
M,VL,VL,VL,M,1
M,VL,VL,M,H,1
M,VL,VL,M,M,1
M,VL,VL,H,H,1
M,VL,VL,H,M,1
M,VL,VL,L,H,0
M,VL,VL,L,M,0
M,VL,M,H,L,1
M,VL,M,M,L,1
M,VL,M,VL,L,1
M,VL,M,VH,L,1
M,VL,M,VH,H,1
M,VL,M,VH,M,1
M,VL,M,VL,H,1
M,VL,M,VL,M,1
M,VL,M,M,H,1
M,VL,M,M,M,1
M,VL,M,H,H,1
M,VL,M,H,M,1
M,VL,M,L,H,0
M,VL,M,L,M,0
M,VL,H,H,L,1
M,VL,H,M,L,1
M,VL,H,VL,L,1
M,VL,H,VH,L,1
M,VL,H,VH,H,1
M,VL,H,VH,M,1
M,VL,H,VL,H,1
M,VL,H,VL,M,1
M,VL,H,M,H,1
M,VL,H,M,M,1
M,VL,H,H,H,1
M,VL,H,H,M,1
M,VL,H,L,H,1
M,VL,H,L,M,0
M,VL,L,H,L,1
M,VL,L,M,L,1
M,VL,L,VL,L,1
M,VL,L,VH,L,1
M,VL,L,VH,H,1
M,VL,L,VH,M,1
M,VL,L,VL,H,1
M,VL,L,VL,M,1
M,VL,L,M,H,1
M,VL,L,M,M,1
M,VL,L,H,H,1
M,VL,L,H,M,1
M,VL,L,L,H,1
M,VL,L,L,M,0
M,M,H,L,L,0
M,M,M,L,L,0
M,M,VL,L,L,0
M,M,VH,L,L,1
M,M,VH,H,L,1
M,M,VH,M,L,1
M,M,VH,VL,L,1
M,M,VH,VH,L,1
M,M,VH,VH,H,1
M,M,VH,VH,M,1
M,M,VH,VL,H,1
M,M,VH,VL,M,1
M,M,VH,M,H,1
M,M,VH,M,M,1
M,M,VH,H,H,1
M,M,VH,H,M,1
M,M,VH,L,H,0
M,M,VH,L,M,1
M,M,VL,H,L,1
M,M,VL,M,L,1
M,M,VL,VL,L,1
M,M,VL,VH,L,1
M,M,VL,VH,H,1
M,M,VL,VH,M,1
M,M,VL,VL,H,1
M,M,VL,VL,M,1
M,M,VL,M,H,1
M,M,VL,M,M,1
M,M,VL,H,H,1
M,M,VL,H,M,1
M,M,VL,L,H,0
M,M,VL,L,M,1
M,M,M,H,L,0
M,M,M,M,L,0
M,M,M,VL,L,1
M,M,M,VH,L,1
M,M,M,VH,H,1
M,M,M,VH,M,1
M,M,M,VL,H,0
M,M,M,VL,M,1
M,M,M,M,H,1
M,M,M,M,M,1
M,M,M,H,H,0
M,M,M,H,M,1
M,M,M,L,H,0
M,M,M,L,M,0
M,M,H,H,L,1
M,M,H,M,L,1
M,M,H,VL,L,1
M,M,H,VH,L,1
M,M,H,VH,H,1
M,M,H,VH,M,1
M,M,H,VL,H,1
M,M,H,VL,M,1
M,M,H,M,H,1
M,M,H,M,M,1
M,M,H,H,H,1
M,M,H,H,M,1
M,M,H,L,H,0
M,M,H,L,M,1
M,M,L,H,L,1
M,M,L,M,L,1
M,M,L,VL,L,1
M,M,L,VH,L,1
M,M,L,VH,H,1
M,M,L,VH,M,1
M,M,L,VL,H,1
M,M,L,VL,M,1
M,M,L,M,H,1
M,M,L,M,M,1
M,M,L,H,H,1
M,M,L,H,M,1
M,M,L,L,H,0
M,M,L,L,M,0
M,H,H,L,L,1
M,H,M,L,L,0
M,H,VL,L,L,0
M,H,VH,L,L,0
M,H,VH,H,L,1
M,H,VH,M,L,1
M,H,VH,VL,L,1
M,H,VH,VH,L,1
M,H,VH,VH,H,1
M,H,VH,VH,M,1
M,H,VH,VL,H,1
M,H,VH,VL,M,1
M,H,VH,M,H,1
M,H,VH,M,M,1
